Date;Open;High;Low;Close;Volume;Adj Close;lnret
2/01/03;11291;11603;11291;11603;0;11603;
3/01/03;11632;11798;11600;11600;0;11600;-0,000258587
6/01/03;11636;12032;11633;12020;0;12020;0,035566831
7/01/03;12010;12018;11842;11876;0;11876;-0,012052372
8/01/03;11875;11928;11757;11786;0;11786;-0,00760717
9/01/03;11814;11964;11780;11912;0;11912;0,010633909
10/01/03;11925;12243;11925;12243;0;12243;0,02740805
13/01/03;12243;12350;12095;12110;0;12110;-0,010922788
14/01/03;12131;12175;12052;12175;0;12175;0,005353111
15/01/03;12151;12151;11899;11971;0;11971;-0,016897611
16/01/03;11973;12193;11921;11952;0;11952;-0,00158843
17/01/03;11952;11952;11555;11676;0;11676;-0,023363175
20/01/03;11675;11742;11545;11648;0;11648;-0,002400962
21/01/03;11610;11662;11434;11435;0;11435;-0,018455664
22/01/03;11428;11428;11132;11142;0;11142;-0,025957076
23/01/03;11148;11336;11027;11162;0;11162;0,001793401
24/01/03;11157;11158;10753;10784;0;10784;-0,034451598
27/01/03;10768;10768;10462;10530;0;10530;-0,023835228
28/01/03;10534;10650;10495;10517;0;10517;-0,001235331
29/01/03;10514;10863;10457;10863;0;10863;0,032369524
30/01/03;10873;11001;10705;10751;0;10751;-0,010363746
31/01/03;10761;11004;10741;10941;0;10941;0,017518427
3/02/03;10943;11067;10852;10910;0;10910;-0,002837401
4/02/03;10879;10879;10534;10577;0;10577;-0,030997967
5/02/03;10581;10761;10497;10592;0;10592;0,001417167
6/02/03;10587;10589;10360;10566;0;10566;-0,0024577
7/02/03;10567;10692;10355;10381;0;10381;-0,017664087
10/02/03;10388;10527;10310;10480;0;10480;0,009491467
11/02/03;10491;10650;10475;10509;0;10509;0,002763354
12/02/03;10512;10587;10445;10510;0;10510;9,52E-01
13/02/03;10509;10509;10091;10108;0;10108;-0,038999995
14/02/03;10103;10163;9968;10081;0;10081;-0,002674725
17/02/03;10089;10229;10089;10189;0;10189;0,010656243
18/02/03;10192;10466;10166;10450;0;10450;0,025293271
19/02/03;10434;10434;10206;10252;0;10252;-0,01912917
20/02/03;10259;10268;10118;10217;0;10217;-0,003419809
21/02/03;10222;10340;10144;10331;0;10331;0,011096084
24/02/03;10334;10454;10251;10254;0;10254;-0,007481211
25/02/03;10231;10231;10022;10192;0;10192;-0,006064775
26/02/03;10192;10271;9977;9995;0;9995;-0,019518131
27/02/03;10006;10146;9998;10126;0;10126;0,013021406
28/02/03;10153;10281;10152;10281;0;10281;0,015191158
5/03/03;10263;10318;10104;10306;0;10306;0,002428718
6/03/03;10311;10626;10311;10615;0;10615;0,029541845
7/03/03;10608;10800;10438;10724;0;10724;0,010216125
10/03/03;10695;10695;10294;10309;0;10309;-0,03946692
11/03/03;10314;10408;10199;10340;0;10340;0,003002569
12/03/03;10343;10579;10290;10577;0;10577;0,022661963
13/03/03;10606;10840;10591;10783;0;10783;0,019288988
14/03/03;10792;10924;10755;10817;0;10817;0,003148151
17/03/03;10783;10940;10609;10875;0;10875;0,005347606
18/03/03;10891;11192;10891;11151;0;11151;0,025062603
19/03/03;11143;11143;10944;11006;0;11006;-0,013088601
20/03/03;10993;11174;10858;11159;0;11159;0,013805769
21/03/03;11176;11413;11176;11377;0;11377;0,019347426
24/03/03;11362;11362;11024;11053;0;11053;-0,028891889
25/03/03;11047;11243;11035;11232;0;11232;0,016064963
